ID,Title,Keywords,Link,Embedding Dim
22,NASA GeneLab platform utilized for biological response to space radiation in animal models,"nasa genelab platform, space radiation animal, nasa genelab, radiation animal models, genelab platform, genelab platform utilized, radiation animal, space radiation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,1536
23,Circulating miRNA spaceflight signature reveals targets for countermeasure development,"circulating mirna spaceflight, mirna spaceflight signature, circulating mirna, mirna spaceflight, spaceflight signature reveals, spaceflight signature, mirna, reveals targets countermeasure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,1536
24,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,"characterize antimicrobial resistance, station surface microbiome, algorithm characterize antimicrobial, antimicrobial resistance, antimicrobial resistance associated, characterize antimicrobial, surface microbiome, microbiome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,1536
25,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,"extraterrestrial gynecology spaceflight, gynecology spaceflight increase, cancer female astronauts, gynecology spaceflight, extraterrestrial gynecology, female astronauts, female astronauts updated, developing cancer female",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,1536
26,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,"spaceflight linked metabolic, muscle atrophy phenotype, liver muscle mice, gene expression spaceflight, metabolic crosstalk liver, crosstalk liver muscle, atrophy phenotype gene, muscle atrophy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,1536
27,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,"chromosomal positioning epigenetic, dna methylation patterns, positioning epigenetic, influence dna methylation, dna methylation, positioning epigenetic architecture, epigenetic architecture influence, epigenetic",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,1536
28,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection","sars cov infection, sars cov covid, effects sars cov, sars cov, comprehensive sars cov, systemic effects sars, cov covid 19, cov infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,1536
29,Aging and putative frailty biomarkers are altered by spaceflight,"putative frailty biomarkers, frailty biomarkers altered, frailty biomarkers, biomarkers altered spaceflight, aging putative frailty, aging, putative frailty, aging putative",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,1536
30,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,"spaceflight associated mirnas, space radiation damage, space radiation, associated mirnas, radiation damage, mirnas, radiation damage rescued, inhibition key spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,1536
31,Ethical considerations for the age of non-governmental space exploration,"governmental space exploration, space exploration, non governmental space, ethical considerations age, ethical considerations, governmental space, ethical, exploration",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,1536
32,Innate immune responses of Drosophila melanogaster are altered by spaceflight.,"immune responses drosophila, responses drosophila melanogaster, responses drosophila, innate immune responses, drosophila melanogaster, drosophila melanogaster altered, innate immune, drosophila",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,1536
33,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,"microgravity reduces cardiac, prolonged exposure microgravity, reduces cardiac contractility, remodeling drosophila, cardiac contractility initiates, exposure microgravity reduces, initiates remodeling drosophila, cardiac contractility",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,1536
34,Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,"signaling actin cytoskeleton, actin cytoskeleton, plant gravity sensing, regulation plant gravity, sensing signaling actin, plant gravity, signaling actin, cytoskeleton",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,1536
35,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,"hlb1 tetratricopeptide repeat, hlb1 tetratricopeptide, endocytic pathways tgn, tgn ee arabidopsis, exocytic endocytic pathways, endocytic pathways, tetratricopeptide repeat domain, hlb1",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,1536
36,ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,"root hair growth, root hair, erulus plasma membrane, erulus, kinase specifies root, specifies root hair, erulus plasma, focused cytoplasmic calcium",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,1536
37,Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,"brassinosteroids inhibit autotropic, autotropic root straightening, brassinosteroids inhibit, root straightening, root straightening modifying, brassinosteroids, inhibit autotropic root, modifying filamentous actin",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,1536
38,Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,"calcium signaling arabidopsis, imaging calcium signaling, signaling arabidopsis, calcium signaling, signaling arabidopsis thaliana, arabidopsis thaliana seedling, imaging calcium, roots using gcamp3",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,1536
39,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,"actin mediated root, root hair development, mediated root hair, proteins actin mediated, roles proteins actin, root hair, proteins actin, actin mediated",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,1536
40,Microgravity Stress: Bone and Connective Tissue,"microgravity stress bone, microgravity stress, stress bone connective, stress bone, microgravity, bone connective tissue, bone connective, bone",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,1536
41,S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,"detergent solubilized membrane, solubilized membrane proteins, aureus mscl, aureus mscl pentamer, membrane proteins, solubilized membrane, detergent solubilized, implications detergent solubilized",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,1536
42,Manipulating the permeation of charged compounds through the MscL nanovalve.,"compounds mscl nanovalve, mscl nanovalve, charged compounds mscl, permeation charged compounds, manipulating permeation charged, nanovalve, compounds mscl, permeation charged",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,1536
43,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,"mechanosensitive channel large, mechanosensitive channel, truncated mechanosensitive channel, channel large conductance, conductance shows variance, mechanosensitive, state truncated mechanosensitive, large conductance",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,1536
44,Three routes to modulate the pore size of the MscL channel/nanovalve,"mscl channel nanovalve, pore size mscl, modulate pore size, channel nanovalve, pore size, modulate pore, size mscl channel, routes modulate pore",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,1536
45,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,"mscl cytoplasmic lipid, domains mscl cytoplasmic, cytoplasmic lipid interface, protein interactions domains, mscl cytoplasmic, protein protein interactions, cytoplasmic lipid, protein interactions",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,1536
46,The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,"channels act microbial, microbial emergency release, emergency release valves, act microbial emergency, release valves, microbial emergency, mechanosensitive channels act, act microbial",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,1536
47,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,"channel kinetics mechanosensitivity, lipid interface, mscl channel kinetics, lipid interface residue, single lipid interface, chimeras reveal, kinetics mechanosensitivity, chimeras reveal single",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,1536
48,Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,"draft genome tardigrade, genome tardigrade, transfer draft genome, horizontal gene transfer, gene transfer draft, draft genome, tardigrade, extensive horizontal gene",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,1536
49,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,"hypsibius dujardini genome, dujardini genome assemblies, dujardini genome, genes independent hypsibius, independent hypsibius dujardini, hypsibius dujardini, foreign genes independent, identifying foreign genes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,1536
50,Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,"tardigrades use intrinsically, tardigrades use, tardigrades, proteins survive desiccation, disordered proteins survive, intrinsically disordered proteins, disordered proteins, proteins survive",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,1536
51,Desiccation of Hypsibius exemplaris,"desiccation hypsibius exemplaris, desiccation hypsibius, hypsibius exemplaris, hypsibius, desiccation, exemplaris",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,1536
52,The biology of tardigrade disordered proteins in extreme stress tolerance.,"tardigrade disordered proteins, biology tardigrade disordered, disordered proteins extreme, proteins extreme stress, disordered proteins, tardigrade disordered, biology tardigrade, proteins extreme",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,1536
53,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,"bioprotectants anhydrobiosis tardigrade, anhydrobiosis tardigrade paramacrobiotus, bioprotectants anhydrobiosis, involvement bioprotectants anhydrobiosis, anhydrobiosis tardigrade, anhydrobiosis, tardigrade paramacrobiotus spatialis, tardigrade paramacrobiotus",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,1536
54,Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,"reduced musculoskeletal loading, musculoskeletal loading, adaptation reduced musculoskeletal, reduced musculoskeletal, weight suspension, weight suspension novel, musculoskeletal, partial weight suspension",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,1536
55,"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass","changes bone density, proportional changes bone, bone density, density bone architecture, reductions mechanical loading, bone architecture muscle, bone density bone, architecture muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,1536
56,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,"mouse gastrocnemius muscle, impedance characteristics mouse, characteristics mouse gastrocnemius, limb unloading induce, gastrocnemius muscle, mouse gastrocnemius, spaceflight hind limb, hind limb unloading",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,1536
57,Spaceflight Activates Lipotoxic Pathways in Mouse Liver,"spaceflight activates lipotoxic, lipotoxic pathways mouse, activates lipotoxic pathways, activates lipotoxic, spaceflight, lipotoxic pathways, mouse liver, pathways mouse liver",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,1536
58,Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,"bone morphogenetic protein, protein increases bone, bone formation mice, mass bone formation, increases bone mass, bone mass bone, increases bone, receptor bmpr1a fusion",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,1536
59,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,"expression cortical bone, rna molecular barcoding, rnaseq rna, cortical bone, gene expression cortical, rnaseq rna molecular, bone following hindlimb, cortical bone following",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,1536
60,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,"phosphoproteomic characterization cardiovascular, proteomic phosphoproteomic, proteomic phosphoproteomic characterization, space radiation, characterization cardiovascular tissues, cardiovascular tissues, simulated space radiation, characterization cardiovascular",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,1536
61,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,"vestibular land snail, changes vestibular land, adaptive changes vestibular, land snail, vestibular land, land snail 30, snail, snail 30 day",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,1536
62,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau","otolith organ toadfish, morphology utricular otolith, utricular otolith organ, utricular otolith, organ toadfish opsanus, otolith organ, organ toadfish, toadfish opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,1536
63,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.","function utricle toadfish, utricle toadfish opsanus, utricle toadfish, toadfish opsanus tau, toadfish opsanus, toadfish, structure function utricle, altered gravity readaptation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,1536
64,Organization of the ER-Golgi interface for membrane traffic control.,"golgi interface membrane, membrane traffic control, interface membrane traffic, membrane traffic, er golgi interface, golgi interface, interface membrane, membrane",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,1536
65,IRE1: ER stress sensor and cell fate executor.,"er stress sensor, stress sensor cell, ire1 er stress, cell fate executor, er stress, sensor cell fate, stress sensor, cell fate",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,1536
66,Inter-regulation of the unfolded protein response and auxin signaling.,"response auxin signaling, regulation unfolded protein, auxin signaling, protein response auxin, unfolded protein response, unfolded protein, response auxin, auxin",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,1536
67,Endoplasmic reticulum-shape and function in stress translation,"endoplasmic reticulum, endoplasmic reticulum shape, reticulum shape function, function stress translation, endoplasmic, reticulum, reticulum shape, stress translation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,1536
68,Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,"galactose depleted xycoglucan, dwarfism arabidopsis, leads dwarfism arabidopsis, depleted xycoglucan dysfunctional, xycoglucan dysfunctional, galactose depleted, depleted xycoglucan, xycoglucan dysfunctional leads",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,1536
69,"Unfolded protein response in plants: one master, many questions.","unfolded protein response, protein response plants, unfolded protein, protein response, response plants, protein, response plants master, unfolded",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,1536
70,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,"reticulum golgi transport, endoplasmic reticulum golgi, tubes endoplasmic reticulum, golgi transport plants, vesicles versus tubes, endoplasmic reticulum, transport plants fundamentally, vesicles versus",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,1536
71,Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,"pectin methylesterification impacts, pectin methylesterification, photosynthesis plant growth, photosynthesis, plant growth, photosynthesis plant, methylesterification impacts relationship, impacts relationship photosynthesis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,1536
72,Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,"chloroplast coverage genes, reduced chloroplast coverage, chloroplast compartment, size chloroplast compartment, chloroplast coverage, reduced chloroplast, establish size chloroplast, coverage genes arabidopsis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,1536
73,Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,"roles unfolded protein, unfolded protein response, cellular homeostasis plants, unfolded protein, homeostasis plants, protein response cellular, response cellular homeostasis, cellular homeostasis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,1536
74,NADPH oxidase activity is required for ER stress survival in plants.,"nadph oxidase activity, nadph oxidase, stress survival plants, oxidase activity required, oxidase activity, er stress survival, oxidase, required er stress",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,1536
75,Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,"transcriptional reprogramming arabidopsis, spaceflight induced transcriptional, reprogramming arabidopsis, relevance unfolded protein, protein response spaceflight, induced transcriptional reprogramming, unfolded protein response, unfolded protein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,1536
76,Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,"microbiome alterations astronauts, gut microbiome, gut microbiome alterations, common gut microbiome, microbiome alterations, microbiome, mars500 experiment reveals, alterations astronauts induced",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,1536
77,"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments","hze induces transcriptional, response specific clastogenic, radiation hze induces, induces transcriptional responses, transcriptional responses, induces transcriptional, specific clastogenic, clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,1536
78,Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,"transfer radiation arabidopsis, radiation arabidopsis thaliana, radiation arabidopsis, genomic stability response, genomic stability, energy transfer radiation, transfer radiation, arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,1536
79,Acceleration profiles and processing methods for parabolic flight.,"methods parabolic flight, parabolic flight, acceleration profiles processing, acceleration profiles, processing methods parabolic, acceleration, methods parabolic, parabolic",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,1536
80,Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,"methylation mouse cardiac, mouse cardiac lung, tissue space flight, mouse cardiac, cardiac lung tissue, methylation mouse, cytoskeleton, total methylation mouse",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,1536
81,Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,"bone loss spaceflight, loss spaceflight gsk3, spaceflight gsk3, spaceflight gsk3 potential, muscle bone loss, countering muscle bone, gsk3 potential target, bone loss",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,1536
82,Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,"reticulum ca2 leak, sarcoplasmic reticulum ca2, increases sarcoplasmic reticulum, spaceflight increases sarcoplasmic, reticulum ca2, ca2 leak counteracted, sarcoplasmic reticulum, ca2 leak",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,1536
83,Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,"cardiovascular progenitor cells, cardiovascular progenitor, progenitor cells cultured, cells cultured aboard, progenitor cells, cells cultured, cells, international space station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,1536
84,Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,"terrestrial space radiation, space radiation environments, translating advances biomarker, biomarker discovery medical, advances biomarker discovery, discovery medical countermeasures, space radiation, radiation environments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,1536
85,Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,"enterococcus faecalis isolates, characterization enterococcus faecalis, enterococcus faecalis, characterization enterococcus, functional characterization enterococcus, enterococcus, faecalis isolates, faecalis isolates recovered",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,1536
86,Evaluation of in vitro macrophage differentiation during space flight.,"vitro macrophage differentiation, vitro macrophage, evaluation vitro macrophage, macrophage differentiation, macrophage differentiation space, macrophage, differentiation space flight, space flight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,1536
87,Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,"genes ehrlichia chaffeensis, ehrlichia chaffeensis infections, ehrlichia chaffeensis, chaffeensis infections, genes ehrlichia, associated genes ehrlichia, host mitochondrion associated, mitochondrion associated genes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,1536
88,Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,"ehrlichia chaffeensis replication, chaffeensis replication sites, chaffeensis replication, adult drosophila melanogaster, ehrlichia chaffeensis, drosophila melanogaster, adult drosophila, sites adult drosophila",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,1536
89,Development and characterization of two porcine monocyte-derived macrophage cell lines.,"monocyte derived macrophage, characterization porcine monocyte, porcine monocyte derived, macrophage cell lines, derived macrophage cell, macrophage cell, porcine monocyte, derived macrophage",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,1536
90,Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,"understanding macrophage differentiation, macrophage differentiation, understanding macrophage, macrophage differentiation space, macrophage, experiments space flight, differentiation space flight, space flight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,1536
91,Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,"adipose tissue inflammation, marrow leptin signaling, bone marrow leptin, leptin signaling mediates, signaling mediates obesity, leptin signaling, obesity associated adipose, mediates obesity associated",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,1536
92,Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,"db leptin receptor, leptin receptor, leptin receptor deficient, characterization db leptin, murine macrophage cell, deficient murine macrophage, macrophage cell line, db leptin",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,1536
93,Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,"immunoglobulin gene repertoire, assess immunoglobulin gene, immunoglobulin gene, assess immunoglobulin, methods assess immunoglobulin, immunoglobulin, gene repertoire tissues, mice international space",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,1536
